number_of__talk__download_languages,comment_count,number_of__subtitled_videos,number_of__talk__more_resources,work_tag,number_of__talk__recommendations,growth_tag,personal_tag,success_tag,author_occupation,leadership_tag,psychology_tag,business_tag,brain_tag,psychologist_occupation,happiness_tag,number_of__talks__take_actions,age_months,ted salon talk  partner _video,duration,self_tag,ted institute talk_video,communication_tag,subjectivity,ted stage talk_video,ted  original_video,engineer_occupation,researcher_occupation,artist_occupation,teaching_tag,writer_occupation,technology_tag,best web_video,tedx talk_video,body_tag,philosopher_occupation,comedian_occupation,original content_video,comedy_tag,entrepreneur_tag
46,687.0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,1243,0,0,0,0.4381692147514932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,512.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,326,0,0,1,0.4541980803216758,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,338.0,39,1,1,1,0,0,0,0,1,0,1,0,0,0,0,73,0,719,0,0,0,0.4451515151515151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,599.0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,612,0,0,0,0.4525421120829286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,459.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,26,0,1067,0,0,0,0.4884608411892677,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,319.0,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,968,0,0,0,0.36484245912817337,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
73,922.0,71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,107,0,207,0,0,0,0.43386518243661104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,864.0,42,1,0,1,0,0,0,0,0,0,1,0,0,0,0,87,0,827,0,0,0,0.5432531655672153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,563.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,145,0,0,0,0.5459054834054835,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,263.0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,583,0,0,0,0.3823090599876314,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
32,79.0,31,2,0,0,0,0,0,0,0,1,0,0,0,0,0,48,0,915,1,0,1,0.4356581077955123,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,396.0,39,1,1,1,0,0,1,0,0,0,0,0,0,1,1,89,0,564,0,0,0,0.4937649415261356,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,605.0,35,2,0,0,0,0,0,0,0,1,0,0,0,0,0,165,0,1407,0,0,0,0.4967677596573698,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,338.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,280,0,0,0,0.5164457070707071,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
38,198.0,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,61,0,352,0,0,0,0.503136507936508,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,1009.0,34,1,0,0,0,0,0,0,0,0,0,0,1,0,0,85,0,889,0,0,0,0.3768346108951203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,720.0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,468,0,0,0,0.5388837353123068,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,774.0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,522,0,0,0,0.5635473176612417,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
23,691.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,267,0,0,0,0.3886744806556128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,608.0,38,2,0,1,0,0,0,0,0,0,0,0,0,0,2,110,0,1060,0,0,0,0.4871016441470982,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,325.0,35,2,0,4,0,0,0,0,0,0,0,0,0,0,1,57,0,1147,0,0,0,0.4854187887276124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,55.0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,1082,0,0,1,0.4389417944211181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,704.0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,853,0,0,0,0.4663942880385834,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
43,282.0,41,1,0,0,1,1,0,0,0,1,1,1,1,0,0,66,0,620,0,0,0,0.4189112554112553,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
